district_id,province,district,yuzey_alani_km2,tesvik_bolgesi,kayit_sayisi
TR-56562be0e9,BİLECİK,GÖLPAZARI,670,3.0,365
TR-9fd0b0ae36,BİLECİK,OSMANELİ,490,3.0,365
TR-d668b2f9ac,BİLECİK,PAZARYERİ,324,3.0,365
TR-285c784d0d,BİLECİK,SÖĞÜT,523,3.0,365
TR-8fffa1ce68,BİLECİK,YENİPAZAR,273,3.0,365
TR-b44abef5fb,BİLECİK,İNHİSAR,244,3.0,365
TR-9395a3232d,BİNGÖL,ADAKLI,825,6.0,365
TR-c6496a9a02,BİNGÖL,BİNGÖL,0,6.0,365
TR-12c9916e24,BİNGÖL,GENÇ,1443,6.0,365
TR-22ed38bbe4,BİNGÖL,KARLIOVA,1566,6.0,365
TR-e6aedd715b,BİNGÖL,KİĞI,483,6.0,365
TR-15edbad92f,BİNGÖL,SOLHAN,1032,6.0,365
TR-3774f29896,BİNGÖL,YAYLADERE,417,6.0,365
TR-cd0fa61c04,BİNGÖL,YEDİSU,423,6.0,365
TR-915e5ca20d,BİTLİS,ADİLCEVAZ,1586,6.0,365
TR-3c079d15ec,BİTLİS,AHLAT,1153,6.0,365
TR-ea7f455365,BİTLİS,BİTLİS,0,6.0,365
TR-0ac0c895ac,BİTLİS,GÜROYMAK,515,6.0,365
TR-2046e2f60e,BİTLİS,HİZAN,1021,6.0,365
TR-00aa22f562,BİTLİS,MUTKİ,1069,6.0,365
TR-15002e2337,BİTLİS,TATVAN,1885,6.0,365
TR-25df38cf67,DENİZLİ,ACIPAYAM,1772,2.0,365
TR-0219d49fcc,DENİZLİ,AKKÖY,0,2.0,365
TR-da07303f04,DENİZLİ,BABADAĞ,124,2.0,365
TR-681f61fabf,DENİZLİ,BAKLAN,283,2.0,365
TR-e42b0de19a,DENİZLİ,BEKİLLİ,304,2.0,365
TR-82a68f3305,DENİZLİ,BEYAĞAÇ,333,2.0,365
TR-27860155e9,DENİZLİ,BOZKURT,462,2.0,365
TR-0c57b6ee7a,DENİZLİ,BULDAN,523,2.0,365
TR-e0dc60033a,DENİZLİ,DENİZLİ,0,2.0,365
TR-110c2886d1,DENİZLİ,GÜNEY,362,2.0,365
TR-a7d8e9fd75,DENİZLİ,HONAZ,449,2.0,365
TR-1dd8ab19f1,DENİZLİ,KALE,684,2.0,365
TR-bf3de08f03,DENİZLİ,SARAYKÖY,379,2.0,365
TR-56d311b974,DENİZLİ,SERİNHİSAR,256,2.0,365
TR-6ec07ef977,DENİZLİ,TAVAS,1432,2.0,365
TR-908df637dc,DENİZLİ,ÇAL,860,2.0,365
TR-d3518c92cf,DENİZLİ,ÇAMELİ,758,2.0,365
TR-6ef81881f5,DENİZLİ,ÇARDAK,423,2.0,365
TR-de93ee7bc4,DENİZLİ,ÇİVRİL,1570,2.0,365
TR-8e33caf2ec,DÜZCE,AKÇAKOCA,380,4.0,365
TR-9ccefcf532,DÜZCE,CUMAYERİ,113,4.0,365
TR-80429a4d5d,DÜZCE,DÜZCE,0,4.0,365
TR-268117df1e,DÜZCE,GÖLYAKA,228,4.0,365
TR-8a02ad464e,DÜZCE,GÜMÜŞOVA,103,4.0,365
TR-49d02d5cef,DÜZCE,KAYNAŞLI,237,4.0,365
TR-72e240ad4e,DÜZCE,YIĞILCA,636,4.0,365
TR-529aba8bf7,DÜZCE,ÇİLİMLİ,85,4.0,365
TR-caded8142f,DİYARBAKIR,BAĞLAR,429,6.0,365
TR-896e04c44a,DİYARBAKIR,BİSMİL,1679,6.0,365
TR-ae950fef4a,DİYARBAKIR,DİCLE,738,6.0,365
TR-77133d2816,DİYARBAKIR,ERGANİ,1510,6.0,365
TR-48e6acbddf,DİYARBAKIR,EĞİL,449,6.0,365
TR-f0b52426c3,DİYARBAKIR,HANİ,436,6.0,365
TR-f205bc014d,DİYARBAKIR,HAZRO,426,6.0,365
TR-f060bda084,DİYARBAKIR,KAYAPINAR,480,6.0,365
TR-d372898250,DİYARBAKIR,KOCAKÖY,248,6.0,365
TR-e6ea47f71a,DİYARBAKIR,KULP,1493,6.0,365
TR-d601831a97,DİYARBAKIR,LİCE,982,6.0,365
TR-96abfee3b2,DİYARBAKIR,SUR,1227,6.0,365
TR-efe2229e99,DİYARBAKIR,SİLVAN,1252,6.0,365
TR-f7971bdf6e,DİYARBAKIR,YENİŞEHİR,358,6.0,365
TR-6bdbe6f75a,DİYARBAKIR,ÇERMİK,948,6.0,365
TR-bacce89e62,DİYARBAKIR,ÇINAR,1934,6.0,365
TR-3f58d794ac,DİYARBAKIR,ÇÜNGÜŞ,512,6.0,365
TR-0ce9a5e54b,EDİRNE,EDİRNE,0,2.0,365
