il,ilce,yuzey_alani_km2
KAHRAMANMARAŞ,PAZARCIK,1253.0
KAHRAMANMARAŞ,TÜRKOĞLU,660.0
KARABÜK,EFLANİ,674.0
KARABÜK,ESKİPAZAR,754.0
KARABÜK,KARABÜK_MERKEZ,790.0
KARABÜK,OVACIK,398.0
KARABÜK,SAFRANBOLU,750.0
KARABÜK,YENİCE,777.0
KARAMAN,AYRANCI,2245.0
KARAMAN,BAŞYAYLA,141.0
KARAMAN,ERMENEK,1242.0
KARAMAN,KARAMAN_MERKEZ,4036.0
KARAMAN,KÂZIMKARABEKİR,423.0
KARAMAN,SARIVELİLER,590.0
KARS,AKYAKA,417.0
KARS,ARPAÇAY,1165.0
KARS,DİGOR,1092.0
KARS,KAĞIZMAN,1871.0
KARS,KARS_MERKEZ,2048.0
KARS,SARIKAMIŞ,2038.0
KARS,SELİM,982.0
KARS,SUSUZ,578.0
KASTAMONU,ABANA,28.0
KASTAMONU,AĞLI,225.0
KASTAMONU,ARAÇ,1446.0
KASTAMONU,AZDAVAY,759.0
KASTAMONU,BOZKURT,308.0
KASTAMONU,CİDE,652.0
KASTAMONU,ÇATALZEYTİN,272.0
KASTAMONU,DADAY,843.0
KASTAMONU,DEVREKÂNİ,715.0
KASTAMONU,DOĞANYURT,193.0
KASTAMONU,HANÖNÜ,417.0
KASTAMONU,İHSANGAZİ,445.0
KASTAMONU,İNEBOLU,417.0
KASTAMONU,KASTAMONU_MERKEZ,1847.0
KASTAMONU,KÜRE,406.0
KASTAMONU,PINARBAŞI,546.0
KASTAMONU,SEYDİLER,233.0
KASTAMONU,ŞENPAZAR,252.0
KASTAMONU,TAŞKÖPRÜ,1758.0
KASTAMONU,TOSYA,1302.0
KAYSERİ,AKKIŞLA,371.0
KAYSERİ,BÜNYAN,1210.0
KAYSERİ,DEVELİ,1892.0
KAYSERİ,FELAHİYE,444.0
KAYSERİ,HACILAR,187.0
KAYSERİ,İNCESU,874.0
KAYSERİ,KOCASİNAN,1471.0
KAYSERİ,MELİKGAZİ,668.0
KAYSERİ,ÖZVATAN,270.0
KAYSERİ,PINARBAŞI,3418.0
KAYSERİ,SARIOĞLAN,642.0
KAYSERİ,SARIZ,1173.0
KAYSERİ,TALAS,444.0
KAYSERİ,TOMARZA,1405.0
KAYSERİ,YAHYALI,1587.0
KAYSERİ,YEŞİLHİSAR,913.0
KIRIKKALE,BAHŞİLİ,266.0
KIRIKKALE,BALIŞEYH,623.0
KIRIKKALE,ÇELEBİ,223.0
KIRIKKALE,DELİCE,970.0
KIRIKKALE,KARAKEÇİLİ,137.0
KIRIKKALE,KESKİN,1129.0
KIRIKKALE,KIRIKKALE_MERKEZ,432.0
KIRIKKALE,SULAKYURT,708.0
KIRIKKALE,YAHŞİHAN,304.0
KIRKLARELİ,BABAESKİ,670.0
KIRKLARELİ,DEMİRKÖY,893.0
KIRKLARELİ,KIRKLARELİ_MERKEZ,1623.0
KIRKLARELİ,KOFÇAZ,545.0
KIRKLARELİ,LÜLEBURGAZ,1016.0
KIRKLARELİ,PEHLİVANKÖY,104.0
KIRKLARELİ,PINARHİSAR,518.0
KIRKLARELİ,VİZE,1090.0
KIRŞEHİR,AKÇAKENT,370.0
KIRŞEHİR,AKPINAR,582.0
KIRŞEHİR,BOZTEPE,747.0
KIRŞEHİR,ÇİÇEKDAĞI,891.0
KIRŞEHİR,KAMAN,1284.0
KIRŞEHİR,KIRŞEHİR_MERKEZ,1719.0
KIRŞEHİR,MUCUR,992.0
KİLİS,ELBEYLİ,238.0
KİLİS,KİLİS_MERKEZ,610.0
KİLİS,MUSABEYLİ,346.0
KİLİS,POLATELİ,218.0
KOCAELİ,BAŞİSKELE,209.0
KOCAELİ,ÇAYIROVA,23.0
KOCAELİ,DARICA,23.0
KOCAELİ,DERİNCE,198.0
KOCAELİ,DİLOVASI,125.0
KOCAELİ,GEBZE,418.0
KOCAELİ,GÖLCÜK,217.0
KOCAELİ,İZMİT,480.0
KOCAELİ,KANDIRA,840.0
KOCAELİ,KARAMÜRSEL,262.0
KOCAELİ,KARTEPE,301.0
KOCAELİ,KÖRFEZ,301.0
KONYA,AHIRLI,325.0
KONYA,AKÖREN,640.0
KONYA,AKŞEHİR,895.0
KONYA,ALTINEKİN,1312.0
KONYA,BEYŞEHİR,2054.0
KONYA,BOZKIR,1105.0
KONYA,CİHANBEYLİ,3702.0
KONYA,ÇELTİK,640.0
KONYA,ÇUMRA,2089.0
KONYA,DERBENT,359.0
KONYA,DEREBUCAK,451.0
KONYA,DOĞANHİSAR,482.0
KONYA,EMİRGAZİ,798.0
KONYA,EREĞLİ,2214.0
KONYA,GÜNEYSINIR,482.0
KONYA,HADİM,1165.0
KONYA,HALKAPINAR,605.0
KONYA,HÜYÜK,443.0
KONYA,ILGIN,1636.0
KONYA,KADINHANI,1568.0
KONYA,KARAPINAR,2623.0
KONYA,KARATAY,2832.0
KONYA,KULU,2234.0
KONYA,MERAM,1822.0
KONYA,SARAYÖNÜ,1620.0
KONYA,SELÇUKLU,1931.0
KONYA,SEYDİŞEHİR,1458.0
KONYA,TAŞKENT,457.0
KONYA,TUZLUKÇU,704.0
KONYA,YALIHÜYÜK,94.0
KONYA,YUNAK,2101.0
KÜTAHYA,ALTINTAŞ,941.0
KÜTAHYA,ASLANAPA,731.0
KÜTAHYA,ÇAVDARHİSAR,429.0
KÜTAHYA,DOMANİÇ,539.0
KÜTAHYA,DUMLUPINAR,250.0
KÜTAHYA,EMET,951.0
KÜTAHYA,GEDİZ,1193.0
KÜTAHYA,HİSARCIK,370.0
KÜTAHYA,KÜTAHYA_MERKEZ,2470.0
KÜTAHYA,PAZARLAR,115.0
KÜTAHYA,SİMAV,1515.0
KÜTAHYA,ŞAPHANE,229.0
KÜTAHYA,TAVŞANLI,1899.0
MALATYA,AKÇADAĞ,1118.0
MALATYA,ARAPGİR,987.0
MALATYA,ARGUVAN,1096.0
MALATYA,BATTALGAZİ,947.0
MALATYA,DARENDE,1482.0
MALATYA,DOĞANŞEHİR,1364.0
MALATYA,DOĞANYOL,177.0
MALATYA,HEKİMHAN,1514.0
MALATYA,KALE,237.0
MALATYA,KULUNCAK,645.0
MALATYA,PÜTÜRGE,1086.0
MALATYA,YAZIHAN,653.0
MALATYA,YEŞİLYURT,953.0
